#{"t_start": 1764870135.157609, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-169.977191,1000,1386.438721
-151.005989,1000,1405.501775
-188.871412,1000,1424.392851
-200.452444,1000,1444.211818
-123.0845,1000,1463.497849
-170.818499,1000,1482.229947
-289.559167,799,1497.398189
-154.815422,1000,1516.149244
-169.745245,1000,1534.983265
-180.100783,1000,1553.756355
-134.747702,1000,1575.898212
-113.2051,1000,1593.759311
-116.532798,1000,1613.159342
-129.31363,1000,1633.223332
-96.377358,1000,1654.141284
-110.190387,1000,1672.526359
-273.025333,939,1691.08143
-61.485616,1000,1711.203418
-85.809058,1000,1730.765432
-74.01891,1000,1750.406972
-68.661669,1000,1768.316071
-97.681648,368,1775.387756
-46.750396,349,1782.121381
-171.999696,694,1795.297755
-192.122394,470,1803.80429
-197.904266,471,1813.467808
-88.960739,1000,1832.276859
